data_i;cod_staz;cod_aggr;radglob
2021-07-04 00:00:00;6660;4;((24, 1), 313.8, 30.3, 84.0, 0.0)
2021-07-05 00:00:00;6660;4;((24, 1), 332.2, 29.2, 74.0, 0.0)
2021-07-06 00:00:00;6660;4;((24, 1), 334.2, 29.3, 74.0, 0.0)
2021-07-07 00:00:00;6660;4;((24, 1), 312.4, 28.2, 72.0, 0.0)
2021-07-08 00:00:00;6660;4;((24, 1), 254.3, 23.7, 65.0, 0.0)
2021-07-09 00:00:00;6660;4;((24, 1), 254.3, 23.8, 63.0, 0.0)
2021-07-10 00:00:00;6660;4;((24, 1), 316.2, 29.0, 73.0, 0.0)
2021-07-11 00:00:00;6660;4;((24, 1), 326.4, 29.3, 74.0, 0.0)
2021-07-12 00:00:00;6660;4;((24, 1), 292.0, 26.4, 70.0, 0.0)
2021-07-13 00:00:00;6660;4;((24, 1), 137.5, 12.5, 36.0, 0.0)
2021-07-14 00:00:00;6660;4;((24, 1), 249.4, 23.1, 68.0, 0.0)
2021-07-15 00:00:00;6660;4;((24, 1), 287.7, 28.0, 75.0, 0.0)
2021-07-16 00:00:00;6660;4;((24, 1), 143.8, 16.3, 41.0, 0.0)
2021-07-17 00:00:00;6660;4;((24, 1), 65.9, 7.4, 28.0, 0.0)
2021-07-18 00:00:00;6660;4;((24, 1), 259.1, 24.8, 60.0, 0.0)
2021-07-19 00:00:00;6660;4;((24, 1), 196.6, 19.9, 58.0, 0.0)
2021-07-20 00:00:00;6660;4;((24, 1), 313.3, 28.6, 72.0, 0.0)
2021-07-21 00:00:00;6660;4;((24, 1), 298.8, 28.2, 71.0, 0.0)
2021-07-22 00:00:00;6660;4;((24, 1), 299.3, 28.4, 72.0, 0.0)
2021-07-23 00:00:00;6660;4;((24, 1), 304.6, 28.1, 71.0, 0.0)
2021-07-24 00:00:00;6660;4;((24, 1), 287.2, 27.1, 69.0, 0.0)
2021-07-25 00:00:00;6660;4;((24, 1), 140.4, 15.2, 54.0, 0.0)
2021-07-26 00:00:00;6660;4;((24, 1), 71.7, 6.7, 18.0, 0.0)
2021-07-27 00:00:00;6660;4;((24, 1), 191.8, 19.9, 54.0, 0.0)
2021-07-28 00:00:00;6660;4;((24, 1), 250.4, 24.1, 71.0, 0.0)
2021-07-29 00:00:00;6660;4;((24, 1), 292.0, 27.3, 68.0, 0.0)
2021-07-30 00:00:00;6660;4;((24, 1), 294.0, 27.2, 68.0, 0.0)
2021-07-31 00:00:00;6660;4;((24, 1), 291.1, 27.2, 68.0, 0.0)
2021-08-01 00:00:00;6660;4;((24, 1), 263.5, 26.5, 71.0, 0.0)
2021-08-02 00:00:00;6660;4;((24, 1), 281.9, 26.5, 70.0, 0.0)
2021-08-03 00:00:00;6660;4;((24, 1), 276.5, 27.1, 69.0, 0.0)
2021-08-04 00:00:00;6660;4;((24, 1), 261.5, 25.3, 69.0, 0.0)
2021-08-05 00:00:00;6660;4;((24, 1), 265.9, 25.0, 66.0, 0.0)
2021-08-06 00:00:00;6660;4;((24, 1), 297.4, 27.9, 70.0, 0.0)
2021-08-07 00:00:00;6660;4;((24, 1), 290.1, 27.2, 69.0, 0.0)
2021-08-08 00:00:00;6660;4;((24, 1), 278.5, 27.1, 69.0, 0.0)
2021-08-09 00:00:00;6660;4;((24, 1), 260.6, 26.2, 67.0, 0.0)
2021-08-10 00:00:00;6660;4;((24, 1), 241.7, 23.8, 62.0, 0.0)
2021-08-11 00:00:00;6660;4;((24, 1), 240.7, 25.0, 65.0, 0.0)
2021-08-12 00:00:00;6660;4;((24, 1), 276.5, 26.5, 67.0, 0.0)
2021-08-13 00:00:00;6660;4;((24, 1), 240.7, 25.2, 63.0, 0.0)
2021-08-14 00:00:00;6660;4;((24, 1), 279.4, 26.7, 67.0, 0.0)
2021-08-15 00:00:00;6660;4;((24, 1), 254.7, 24.6, 66.0, 0.0)
2021-08-16 00:00:00;6660;4;((24, 1), 201.5, 19.6, 56.0, 0.0)
2021-08-17 00:00:00;6660;4;((24, 1), 162.2, 17.4, 58.0, 0.0)
2021-08-18 00:00:00;6660;4;((24, 1), 248.9, 25.2, 67.0, 0.0)
2021-08-19 00:00:00;6660;4;((24, 1), 272.7, 26.2, 67.0, 0.0)
2021-08-20 00:00:00;6660;4;((24, 1), 238.8, 25.5, 65.0, 0.0)
2021-08-21 00:00:00;6660;4;((24, 1), 266.4, 26.1, 66.0, 0.0)
2021-08-22 00:00:00;6660;4;((24, 1), 254.7, 25.4, 64.0, 0.0)
2021-08-23 00:00:00;6660;4;((24, 1), 217.9, 24.4, 63.0, 0.0)
2021-08-24 00:00:00;6660;4;((24, 1), 130.8, 15.5, 45.0, 0.0)
2021-08-25 00:00:00;6660;4;((24, 1), 174.8, 22.5, 68.0, 0.0)
2021-08-26 00:00:00;6660;4;((24, 1), 237.3, 24.6, 65.0, 0.0)
2021-08-27 00:00:00;6660;4;((24, 1), 173.4, 20.9, 60.0, 0.0)
2021-08-28 00:00:00;6660;4;((24, 1), 102.7, 13.8, 50.0, 0.0)
2021-08-29 00:00:00;6660;4;((24, 1), 222.3, 23.5, 65.0, 0.0)
2021-08-30 00:00:00;6660;4;((24, 1), 254.3, 25.8, 65.0, 0.0)
2021-08-31 00:00:00;6660;4;((24, 1), 205.3, 22.2, 58.0, 0.0)
2021-09-01 00:00:00;6660;4;((24, 1), 231.0, 25.5, 64.0, 0.0)
