data_i;cod_staz;cod_aggr;ur;ur00;ur01;ur02;ur03;ur04;ur05;ur06;cl_ur06;ur07;ur08;ur09;ur10;ur11;ur12;cl_ur12;ur13;ur14;ur15;ur16;ur17;ur18;ur19;ur20;ur21;ur22;ur23
2021-04-12 00:00:00;6660;4;((24, 1), 91.4, 13.5, (None, None), 100.0, 58.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-13 00:00:00;6660;4;((24, 1), 91.2, 10.4, (None, None), 100.0, 68.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-14 00:00:00;6660;4;((24, 1), 68.5, 14.0, (None, None), 90.0, 49.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-15 00:00:00;6660;4;((24, 1), 72.5, 10.8, (None, None), 91.0, 56.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-16 00:00:00;6660;4;((24, 1), 74.7, 20.6, (None, None), 99.0, 42.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-17 00:00:00;6660;4;((24, 1), 64.4, 11.1, (None, None), 84.0, 47.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-18 00:00:00;6660;4;((24, 1), 71.0, 9.2, (None, None), 84.0, 51.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-19 00:00:00;6660;4;((24, 1), 80.4, 11.2, (None, None), 99.0, 61.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-20 00:00:00;6660;4;((24, 1), 72.4, 17.3, (None, None), 99.0, 49.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-21 00:00:00;6660;4;((24, 1), 71.2, 15.3, (None, None), 92.0, 50.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-22 00:00:00;6660;4;((24, 1), 92.0, 6.6, (None, None), 100.0, 79.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-23 00:00:00;6660;4;((24, 1), 84.1, 16.2, (None, None), 100.0, 58.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-24 00:00:00;6660;4;((24, 1), 60.1, 21.9, (None, None), 93.0, 32.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-25 00:00:00;6660;4;((24, 1), 57.8, 15.0, (None, None), 83.0, 36.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-26 00:00:00;6660;4;((24, 1), 77.9, 14.3, (None, None), 100.0, 58.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-27 00:00:00;6660;4;((24, 1), 87.4, 11.3, (None, None), 100.0, 70.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-28 00:00:00;6660;4;((24, 1), 99.7, 1.0, (None, None), 100.0, 96.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-29 00:00:00;6660;4;((24, 1), 96.4, 5.7, (None, None), 100.0, 83.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-30 00:00:00;6660;4;((24, 1), 86.0, 16.5, (None, None), 100.0, 60.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-01 00:00:00;6660;4;((24, 1), 92.8, 9.8, (None, None), 100.0, 66.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-02 00:00:00;6660;4;((24, 1), 64.9, 19.2, (None, None), 100.0, 41.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-03 00:00:00;6660;4;((24, 1), 73.6, 13.9, (None, None), 99.0, 56.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05-04 00:00:00;6660;4;((24, 1), 81.3, 14.8, (None, None), 100.0, 58.0);;;;;;;;;;;;;;;;;;;;;;;;;;
